model,granularity,query,rank,relevance_score,chunk_id,parent_chunk_id,source,text_preview
all-mpnet-base-v2,128,What is bauxite used for?,1,0,chunk-4dfab4d43a054f09,chunk-6d0c69e143c0ce62,Natural_Resources_India_wiki.pptx,". it is used as a semi-precious stone and also in abrasives, sand blasting, water filtration materials and water jet cutting"
all-mpnet-base-v2,128,What is bauxite used for?,2,0,chunk-e39d6292ad7284b9,chunk-972e347e73d40c46,GEOG-502.pdf,".  bauxite: found in states like odisha, gujarat, and maharashtra"
all-mpnet-base-v2,128,What is bauxite used for?,3,0,chunk-c1a71a36e2e0a634,chunk-e22322f44cd182d3,1587401677_BA(H)-Psc-Eco-Eng-BA(P)-II-Natural_Resource.pdf,"of copper, chromites, bauxite and magnetite"
all-mpnet-base-v2,128,What is bauxite used for?,4,0,chunk-d6ad41c203c8fd51,chunk-a257e121ff9265f6,Natural_Resources_India_wiki.pptx,for processing ilmenite.[105] it is also used in production of titanium dioxide pigment
all-mpnet-base-v2,128,What is bauxite used for?,5,0,chunk-d4b3d14961c1ee37,chunk-81205c8444e786e9,Natural_Resources_India_wiki.pptx,". other than construction, it is used in paint and agricultural lime."
all-mpnet-base-v2,128,What is bauxite used for?,6,0,chunk-9fce122e22a4d5dd,chunk-e1303cfec689cc66,Geography of Natural Resource and Management course code GeEs1019.pdf,.  as raw materials in a variety of manufacturing industries
all-mpnet-base-v2,128,What is bauxite used for?,7,1,chunk-b3323a56b1f138e4,chunk-e1303cfec689cc66,Geography of Natural Resource and Management course code GeEs1019.pdf,"and steel, aluminum and ceramic minerals for various constructions"
all-mpnet-base-v2,128,What is bauxite used for?,8,0,chunk-41620c7265664beb,chunk-c3209583e83604f2,Geography of Natural Resource and Management course code GeEs1019.pdf,up of metals and ceramic minerals
all-mpnet-base-v2,128,What is bauxite used for?,9,0,chunk-a3993cfb20a90804,chunk-5c275aaf67177de1,Natural_Resources_India_wiki.pptx,. these are mainly used in building constructions.[51] environmental impact of mining these minerals was significant over a
all-mpnet-base-v2,128,What is bauxite used for?,10,0,chunk-cf97609df9800a6e,chunk-42efa9db955397fc,Natural_Resources_India_wiki.pptx,". it was used in construction of temples, tombs and palaces. now it is also used for flooring in homes and offices"
all-mpnet-base-v2,128,Environmental impact of strip mining,1,0,chunk-9482307a25181976,chunk-ccee37976be8e64a,GEOG-502.pdf,environmental impacts of mining activities
